123
0
0
0
0
0
0
0
0
100.0>100.0|10.0>10.000002>0.01|1.0>-1.0|2|
101.0>101.0|9.0>9.000007>0.01|1.0>-1.0|2|
102.0>102.0|8.0>8.079995>0.01|1.0>-1.0|2|
103.0>103.0|7.0>7.000006>0.01|1.0>-1.0|2|
104.0>104.0|6.0>6.059995>0.01|1.0>-1.0|2|
105.0>105.0|5.0>5.000001>0.01|1.0>-1.0|2|
106.0>106.0|4.0>4.0399976>0.01|1.0>-1.0|2|
107.0>107.0|3.0>3.0299976>0.01|1.0>-1.0|2|
108.0>108.0|2.0>2.0199988>0.01|1.0>-1.0|2|
109.0>109.0|1.0>1.0099994>0.01|1.0>-1.0|2|
110.0>110.0|0.0>0.0>0.01|1.0>-1.0|2|
0.0>0.0|0.0>0.0>0.01|0|2|
0.0>0.0|0.0>0.0>0.01|0|2|
0.0>0.0|0.0>0.0>0.01|0|2|
0.0>0.0|0.0>0.0>0.01|0|2|
0.0>0.0|0.0>0.0>0.01|0|2|
0.0>0.0|0.0>0.0>0.01|0|2|
0.0>0.0|0.0>0.0>0.01|0|2|
0.0>0.0|0.0>0.0>0.01|0|2|
0.0>0.0|0.0>0.0>0.01|0|2|
0.0>0.0|0.0>0.0>0.01|0|2|
0.0>0.0|0.0>0.0>0.01|0|2|
0.0>0.0|0.0>0.0>0.01|0|2|
0.0>0.0|0.0>0.0>0.01|0|2|
0.0>0.0|0.0>0.0>0.01|0|2|
0.0>0.0|0.0>0.0>0.01|0|2|
0.0>0.0|0.0>0.0>0.01|0|2|
0.0>0.0|0.0>0.0>0.01|0|2|
0.0>0.0|0.0>0.0>0.01|0|2|
0.0>0.0|0.0>0.0>0.01|0|2|
0.0>0.0|0.0>0.0>0.01|0|2|
0.0>0.0|0.0>0.0>0.01|0|2|
0.0>0.0|0.0>0.0>0.01|0|2|
0.0>0.0|0.0>0.0>0.01|0|2|
0.0>0.0|0.0>0.0>0.01|0|2|
0.0>0.0|0.0>0.0>0.01|0|2|
0.0>0.0|0.0>0.0>0.01|0|2|
0.0>0.0|0.0>0.0>0.01|0|2|
0.0>0.0|0.0>0.0>0.01|0|2|
0.0>0.0|0.0>0.0>0.01|0|2|
0.0>0.0|0.0>0.0>0.01|0|2|
0.0>0.0|0.0>0.0>0.01|0|2|
0.0>0.0|0.0>0.0>0.01|0|2|
0.0>0.0|0.0>0.0>0.01|0|2|
0.0>0.0|0.0>0.0>0.01|0|2|
0.0>0.0|0.0>0.0>0.01|0|2|
0.0>0.0|0.0>0.0>0.01|0|2|
0.0>0.0|0.0>0.0>0.01|0|2|
0.0>0.0|0.0>0.0>0.01|0|2|
0.0>0.0|0.0>0.0>0.01|0|2|
0.0>0.0|0.0>0.0>0.01|0|2|
0.0>0.0|0.0>0.0>0.01|0|2|
0.0>0.0|0.0>0.0>0.01|0|2|
0.0>0.0|0.0>0.0>0.01|0|2|
0.0>0.0|0.0>0.0>0.01|0|2|
0.0>0.0|0.0>0.0>0.01|0|2|
0.0>0.0|0.0>0.0>0.01|0|2|
0.0>0.0|0.0>0.0>0.01|0|2|
0.0>0.0|0.0>0.0>0.01|0|2|
0.0>0.0|0.0>0.0>0.01|0|2|
0.0>0.0|0.0>0.0>0.01|0|2|
0.0>0.0|0.0>0.0>0.01|0|2|
0.0>0.0|0.0>0.0>0.01|0|2|
0.0>0.0|0.0>0.0>0.01|0|2|
0.0>0.0|0.0>0.0>0.01|0|2|
0.0>0.0|0.0>0.0>0.01|0|2|
0.0>0.0|0.0>0.0>0.01|0|2|
0.0>0.0|0.0>0.0>0.01|0|2|
0.0>0.0|0.0>0.0>0.01|0|2|
0.0>0.0|0.0>0.0>0.01|0|2|
0.0>0.0|0.0>0.0>0.01|0|2|
0.0>0.0|0.0>0.0>0.01|0|2|
0.0>0.0|0.0>0.0>0.01|0|2|
0.0>0.0|0.0>0.0>0.01|0|2|
